timestamp gps_vel pred_vel diff_with_last_update delta_vel update_vel pred_P update_P
1722320464 0.0000 0.0000 -0.0392 0.0000 0.0000 0.2571 0.0986
1722320465 0.0000 0.0000 0.0000 0.0000 0.0000 0.0986 0.0610
1722320466 0.0000 0.0000 0.0000 0.0000 0.0000 0.0610 0.0442
1722320467 0.0000 0.0000 0.0000 0.0000 0.0000 0.0442 0.0346
1722320468 0.0000 0.0000 0.0000 0.0394 0.0394 0.0346 0.0285
1722320469 0.0000 0.0997 0.0603 0.0617 0.1614 0.2245 0.0934
1722320470 0.0000 0.0000 -0.1614 0.0000 0.0000 0.2894 0.1030
1722320471 0.0000 0.0000 0.0000 0.0000 0.0000 0.1030 0.0627
1722320472 0.0000 0.0082 0.0082 0.0767 0.0849 0.1019 0.0622
1722320473 0.0000 0.1061 0.0212 0.0691 0.1752 0.1602 0.0801
1722320474 0.0000 0.2257 0.0506 -0.0022 0.2235 0.1781 0.0843
1722320475 0.0000 0.2643 0.0408 -0.0228 0.2415 0.1823 0.0852
1722320476 0.0000 0.0000 -0.2415 0.0000 0.0000 0.1832 0.0854
1722320477 0.0000 0.0000 0.0000 0.0715 0.0715 0.0854 0.0557
1722320478 0.0000 0.0000 -0.0715 0.0000 0.0000 0.1537 0.0784
1722320479 0.0000 0.0000 0.0000 0.0000 0.0000 0.0784 0.0526
1722320480 0.0000 0.0000 0.0000 0.0000 0.0000 0.0526 0.0396
1722320481 0.0000 0.0000 0.0000 0.0000 0.0000 0.0396 0.0317
1722320482 0.0000 0.0000 0.0000 0.0000 0.0000 0.0513 0.0389
1722320483 0.0000 0.0000 0.0000 0.0000 0.0000 0.0389 0.0313
1722320484 0.0000 0.0000 0.0000 0.0336 0.0336 0.0313 0.0262
1722320485 1.3611 -0.3364 -0.3700 0.5799 0.2435 0.1242 0.0699
1722320486 1.3611 0.0000 -0.2435 0.0000 0.0000 0.1679 0.0819
1722320523 1.6667 2.9159 2.9159 -0.7800 2.1360 3.6099 0.1532
1722320524 1.7500 2.1669 0.0310 -0.1307 2.0362 0.2512 0.0977
1722320626 0.0000 3.3052 1.2689 -1.6060 1.6992 10.0937 0.1575
1722320627 0.0000 1.8476 0.1484 -1.0680 0.7795 0.2555 0.0984
1722320628 0.0000 0.7616 -0.0179 -0.4197 0.3419 0.1964 0.0882
1722320629 0.0000 0.0000 -0.3419 0.0000 0.0000 0.1862 0.0860
1722320630 0.0000 0.0000 0.0000 0.0000 0.0000 0.0860 0.0560
