TimeStamp: 1722319191(2024-07-30 13:59:51), LockStatus: 0x786435, Longitude: 114.044238, Latitude: 22.605963, Speed: 21.08m/s, Heading: 0
TimeStamp: 1722319192(2024-07-30 13:59:52), LockStatus: 0x786435, Longitude: 114.044263, Latitude: 22.606150, Speed: 20.31m/s, Heading: 0
TimeStamp: 1722319193(2024-07-30 13:59:53), LockStatus: 0x786435, Longitude: 114.044285, Latitude: 22.606330, Speed: 19.61m/s, Heading: 0
TimeStamp: 1722319194(2024-07-30 13:59:54), LockStatus: 0x786435, Longitude: 114.044305, Latitude: 22.606507, Speed: 19.39m/s, Heading: 0
TimeStamp: 1722319195(2024-07-30 13:59:55), LockStatus: 0x786435, Longitude: 114.044305, Latitude: 22.606507, Speed: 19.39m/s, Heading: 0
TimeStamp: 1722319196(2024-07-30 13:59:56), LockStatus: 0x786435, Longitude: 114.044350, Latitude: 22.606862, Speed: 20.00m/s, Heading: 0
TimeStamp: 1722319197(2024-07-30 13:59:57), LockStatus: 0x786435, Longitude: 114.044378, Latitude: 22.607043, Speed: 20.42m/s, Heading: 0
TimeStamp: 1722319198(2024-07-30 13:59:58), LockStatus: 0x786435, Longitude: 114.044378, Latitude: 22.607043, Speed: 20.42m/s, Heading: 0
TimeStamp: 1722319199(2024-07-30 13:59:59), LockStatus: 0x786435, Longitude: 114.044408, Latitude: 22.607228, Speed: 20.78m/s, Heading: 0
TimeStamp: 1722319200(2024-07-30 14:00:00), LockStatus: 0x786435, Longitude: 114.044440, Latitude: 22.607415, Speed: 21.22m/s, Heading: 0
TimeStamp: 1722319201(2024-07-30 14:00:01), LockStatus: 0x786435, Longitude: 114.044472, Latitude: 22.607607, Speed: 21.58m/s, Heading: 0
TimeStamp: 1722319202(2024-07-30 14:00:02), LockStatus: 0x786435, Longitude: 114.044505, Latitude: 22.607802, Speed: 22.03m/s, Heading: 0
TimeStamp: 1722319203(2024-07-30 14:00:03), LockStatus: 0x786435, Longitude: 114.044535, Latitude: 22.608002, Speed: 22.44m/s, Heading: 0
TimeStamp: 1722319204(2024-07-30 14:00:04), LockStatus: 0x786435, Longitude: 114.044562, Latitude: 22.608205, Speed: 22.78m/s, Heading: 0
TimeStamp: 1722319205(2024-07-30 14:00:05), LockStatus: 0x786435, Longitude: 114.044587, Latitude: 22.608410, Speed: 22.83m/s, Heading: 0
TimeStamp: 1722319206(2024-07-30 14:00:06), LockStatus: 0x786435, Longitude: 114.044637, Latitude: 22.608818, Speed: 22.83m/s, Heading: 0
